input_name,search_name,matched_uri,match_count
"Stercorarius parasiticus","Stercorarius parasiticus","http://biodiversity.org.au/afd.taxon/af4aa046-93bb-40b9-9114-71bbe1225eb5",1
"Stercorarius pomarinus","Stercorarius pomarinus","http://biodiversity.org.au/afd.taxon/7980ad72-2f32-4d71-9d39-b8423c18d0f3",1
"Sterna dougallii","Sterna dougallii","https://test.biodiversity.org.au/afd/taxa/Sterna_%28Sterna%29_dougallii",1
"Sterna hirundo","Sterna hirundo","https://test.biodiversity.org.au/afd/taxa/Sterna_%28Sterna%29_hirundo",2
"Sterna hirundo","Sterna hirundo","https://test.biodiversity.org.au/afd/taxa/Sterna_%28Sterna%29_hirundo_longipennis",2
"Sterna hirundo hirundo (Western Palearctic populations)","Sterna hirundo hirundo","",0
"Sterna paradisaea (Atlantic populations)","Sterna paradisaea","https://test.biodiversity.org.au/afd/taxa/Sterna_%28Sterna%29_paradisaea",1
"Sterna sumatrana","Sterna sumatrana","https://test.biodiversity.org.au/afd/taxa/Sterna_%28Gygisterna%29_sumatrana_sumatrana",1
"Sternula albifrons","Sternula albifrons","https://test.biodiversity.org.au/afd/taxa/Sternula_albifrons",1
"Sula dactylatra","Sula dactylatra","https://test.biodiversity.org.au/afd/taxa/Sula_dactylatra",1
"Sula leucogaster","Sula leucogaster","http://biodiversity.org.au/afd.taxon/31a2070b-78a5-4600-8956-eff338f14607",1
"Sula sula","Sula sula","http://biodiversity.org.au/afd.taxon/3b0d9a98-3512-4a4b-bc1f-51f0331aa337",1
"Thalassarche bulleri","Thalassarche bulleri","https://test.biodiversity.org.au/afd/taxa/Thalassarche_bulleri;Thalassarche",2
"Thalassarche bulleri","Thalassarche bulleri","https://test.biodiversity.org.au/afd/taxa/Thalassarche_bulleri_bulleri",2
"Thalassarche carteri","Thalassarche carteri","https://test.biodiversity.org.au/afd/taxa/Thalassarche_carteri",1
"Thalassarche cauta","Thalassarche cauta","http://biodiversity.org.au/afd.taxon/b0592117-21ee-4351-a745-cea3e2cbcfcf",1
"Thalassarche chlororhynchos","Thalassarche chlororhynchos","https://test.biodiversity.org.au/afd/taxa/Thalassarche_carteri",1
"Thalassarche chrysostoma","Thalassarche chrysostoma","http://biodiversity.org.au/afd.taxon/7dccf8d0-d4cb-4c64-ac85-93d52190e9e4",1
"Thalassarche eremita","Thalassarche eremita","",0
"Thalassarche impavida","Thalassarche impavida","https://test.biodiversity.org.au/afd/taxa/Thalassarche_impavida",1
"Thalassarche melanophris","Thalassarche melanophris","http://biodiversity.org.au/afd.taxon/f2daa035-4db2-4685-bec1-6b89c3274404",1
